,Working_Days,Age,charges per hour Â£,Average Time Spent,Community_Connector_charges,cost_of_care,cost_of_commConnector
0,165.0,76.0,13,5,16.83,10725.0,13884.75
1,101.0,51.0,13,5,16.83,6565.0,8499.15
2,157.0,19.0,13,5,16.83,10205.0,13211.55
3,97.0,86.0,13,5,16.83,6305.0,8162.549999999999
4,120.0,0.0,13,5,16.83,7800.0,10098.0
5,80.0,77.0,13,5,16.83,5200.0,6731.999999999999
6,184.0,84.0,13,5,16.83,11960.0,15483.599999999999
7,131.0,23.0,13,5,16.83,8515.0,11023.649999999998
8,22.0,70.0,13,5,16.83,1430.0,1851.3
9,67.0,83.0,13,5,16.83,4355.0,5638.049999999999
10,85.0,96.0,13,5,16.83,5525.0,7152.75
11,87.0,56.0,13,5,16.83,5655.0,7321.049999999999
12,69.0,77.0,13,5,16.83,4485.0,5806.35
13,48.0,95.0,13,5,16.83,3120.0,4039.2
14,107.0,78.0,13,5,16.83,6955.0,9004.05
15,55.0,27.0,13,5,16.83,3575.0,4628.249999999999
16,152.0,77.0,13,5,16.83,9880.0,12790.8
17,41.0,66.0,13,5,16.83,2665.0,3450.1499999999996
18,55.0,79.0,13,5,16.83,3575.0,4628.249999999999
19,52.0,76.0,13,5,16.83,3380.0,4375.799999999999
20,21.0,75.0,13,5,16.83,1365.0,1767.1499999999996
21,140.0,67.0,13,5,16.83,9100.0,11781.0
22,47.0,61.0,13,5,16.83,3055.0,3955.0499999999993
23,369.0,21.0,13,5,16.83,23985.0,31051.35
24,0.0,33.0,13,5,16.83,0.0,0.0
25,60.0,42.0,13,5,16.83,3900.0,5049.0
26,231.0,20.0,13,5,16.83,15015.0,19438.649999999998
27,108.0,37.0,13,5,16.83,7020.0,9088.199999999999
28,59.0,77.0,13,5,16.83,3835.0,4964.849999999999
29,32.0,75.0,13,5,16.83,2080.0,2692.7999999999997
30,78.0,62.0,13,5,16.83,5070.0,6563.699999999999
