,Working_Days,Age,charges per hour Â£,Average Time Spent,Social_Worker_charges,cost_of_care,cost_of_socialWorker
0,165.0,76.0,13,5,18.55,10725.0,15303.75
1,101.0,51.0,13,5,18.55,6565.0,9367.75
2,157.0,19.0,13,5,18.55,10205.0,14561.75
3,97.0,86.0,13,5,18.55,6305.0,8996.75
4,120.0,0.0,13,5,18.55,7800.0,11130.0
5,80.0,77.0,13,5,18.55,5200.0,7420.0
6,184.0,84.0,13,5,18.55,11960.0,17066.0
7,131.0,23.0,13,5,18.55,8515.0,12150.25
8,22.0,70.0,13,5,18.55,1430.0,2040.5
9,67.0,83.0,13,5,18.55,4355.0,6214.250000000001
10,85.0,96.0,13,5,18.55,5525.0,7883.75
11,87.0,56.0,13,5,18.55,5655.0,8069.250000000001
12,69.0,77.0,13,5,18.55,4485.0,6399.75
13,48.0,95.0,13,5,18.55,3120.0,4452.0
14,107.0,78.0,13,5,18.55,6955.0,9924.25
15,55.0,27.0,13,5,18.55,3575.0,5101.25
16,152.0,77.0,13,5,18.55,9880.0,14098.0
17,41.0,66.0,13,5,18.55,2665.0,3802.7500000000005
18,55.0,79.0,13,5,18.55,3575.0,5101.25
19,52.0,76.0,13,5,18.55,3380.0,4823.0
20,21.0,75.0,13,5,18.55,1365.0,1947.75
21,140.0,67.0,13,5,18.55,9100.0,12985.0
22,47.0,61.0,13,5,18.55,3055.0,4359.25
23,369.0,21.0,13,5,18.55,23985.0,34224.75
24,0.0,33.0,13,5,18.55,0.0,0.0
25,60.0,42.0,13,5,18.55,3900.0,5565.0
26,231.0,20.0,13,5,18.55,15015.0,21425.25
27,108.0,37.0,13,5,18.55,7020.0,10017.0
28,59.0,77.0,13,5,18.55,3835.0,5472.25
29,32.0,75.0,13,5,18.55,2080.0,2968.0
30,78.0,62.0,13,5,18.55,5070.0,7234.5
