,Town/City,Unitary Authority,Cluster Area,Preferred Language for Communication,Gender,Housing Status,Single Adult Household,Employed/Unemployed,Dependant Children,Homeless or Affected by Housing Exclusion,Disability,Care or Childcare Responsibilities,Received Provision in Welsh?,Re-Engagement,Information and Advice Intervention Given,Individual Accompanied to Group,Individual Visited/Joint Visited with Professionals,Individuals Successfully Closed and Prevented from Accessing Further Services ,Working_Days,Age,charges per hour £,Average Time Spent,Community_Connector_charges,Social_Worker_charges
0,BLACKWOOD,Caerphilly,Mid Valleys East,English,Male,Private,No,Unemployed,No,No,No,No,Yes - partially,No,Yes,Yes,Yes,Yes,165.0,76.0,13,5,16.83,18.55
1,BLACKWOOD,Caerphilly,Mid Valleys East,English,Male,CCBC,No,Unemployed,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,101.0,51.0,13,5,16.83,18.55
2,NEWBRIDGE,Caerphilly,Mid Valleys East,English,Male,Private,No,Unemployed,No,No,Yes,No,Yes - partially,No,Yes,Yes,Yes,Yes,157.0,19.0,13,5,16.83,18.55
3,OAKDALE,Caerphilly,Mid Valleys East,English,Female,Private,No,Unemployed,No,No,Yes,No,No,No,Yes,Yes,No,Yes,97.0,86.0,13,5,16.83,18.55
4,BLACKWOOD,Caerphilly,Mid Valleys East,English,Female,,Yes,Employed,No,No,No,No,No,No,Yes,No,No,Yes,120.0,,13,5,16.83,18.55
5,OAKDALE,Caerphilly,Mid Valleys East,English,Female,Private,Yes,Unemployed,No,No,Yes,No,No,No,Yes,No,Yes,Yes,80.0,77.0,13,5,16.83,18.55
6,BLACKWOOD,Caerphilly,Mid Valleys East,English,Female,CCBC,Yes,Unemployed,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,184.0,84.0,13,5,16.83,18.55
7,BLACKWOOD,Caerphilly,Mid Valleys East,English,Male,CCBC,,Unemployed,No,No,No,No,Yes - partially,,,Yes,Yes,Yes,131.0,23.0,13,5,16.83,18.55
8,HENGOED,Caerphilly,Mid Valleys East,English,Female,,Yes,Unemployed,,No,Prefer not to say,No,No,No,Yes,No,No,Yes,22.0,70.0,13,5,16.83,18.55
9,BLACKWOOD,Caerphilly,Mid Valleys East,English,Female,Private,Yes,Unemployed,No,No,,No,No,No,Yes,Yes,Yes,Yes,67.0,83.0,13,5,16.83,18.55
10,YNYSDDU,Caerphilly,Mid Valleys East,English,Male,Private,Yes,Unemployed,No,No,,No,No,,Yes,Yes,Yes,Yes,85.0,96.0,13,5,16.83,18.55
11,,Caerphilly,Mid Valleys East,English,Male,,,Unemployed,,No,No,No,No,,Yes,Yes,Yes,Yes,87.0,56.0,13,5,16.83,18.55
12,BLACKWOOD,Caerphilly,Mid Valleys East,English,Female,Private,Yes,Unemployed,,No,,,No,,Yes,Yes,Yes,Yes,69.0,77.0,13,5,16.83,18.55
13,,Caerphilly,Mid Valleys East,English,Female,Private,Yes,Unemployed,No,No,No,No,No,,Yes,Yes,Yes,Yes,48.0,95.0,13,5,16.83,18.55
14,,Caerphilly,Mid Valleys East,English,Female,Private,Yes,Unemployed,No,No,No,No,No,,Yes,Yes,Yes,Yes,107.0,78.0,13,5,16.83,18.55
15,,Caerphilly,Mid Valleys East,English,Female,CCBC,,Unemployed,,No,,,No,,Yes,No,Yes,Yes,55.0,27.0,13,5,16.83,18.55
16,BLACKWOOD,Caerphilly,Mid Valleys East,English,Male,Private,No,Unemployed,No,No,,No,,,Yes,Yes,Yes,,152.0,77.0,13,5,16.83,18.55
17,BLACKWOOD,Caerphilly,Mid Valleys East,English,Male,,,Unemployed,,No,,No,No,No,Yes,No,No,Yes,41.0,66.0,13,5,16.83,18.55
18,CAERPHILLY,Caerphilly,Caerphilly Basin,English,Male,,Yes,Unemployed,,No,No,,,,Yes,No,Yes,No,55.0,79.0,13,5,16.83,18.55
19,PONTLLANFRAITH,Caerphilly,Mid Valleys East,English,Female,CCBC,Yes,Unemployed,No,No,Yes,No,No,,Yes,,Yes,Yes,52.0,76.0,13,5,16.83,18.55
20,,Caerphilly,Mid Valleys East,English,Female,,,Unemployed,,,,,,,Yes,,Yes,Yes,21.0,75.0,13,5,16.83,18.55
21,PENGAM,Caerphilly,Mid Valleys West,English,Male,CCBC,No,Unemployed,No,No,No,No,,,Yes,,Yes,Yes,140.0,67.0,13,5,16.83,18.55
22,,Caerphilly,Caerphilly Basin,English,Male,Private,No,Unemployed,No,No,Yes,No,No,,Yes,,Yes,Yes,47.0,61.0,13,5,16.83,18.55
23,NEWBRIDGE,Caerphilly,Mid Valleys East,English,Male,Private,,Unemployed,,No,,,,,Yes,,Yes,Yes,369.0,21.0,13,5,16.83,18.55
24,,Caerphilly,Mid Valleys East,English,Male,,,Unemployed,,No,,,,,Yes,,Yes,Yes,,33.0,13,5,16.83,18.55
25,CAERPHILLY,Caerphilly,Caerphilly Basin,English,Male,CCBC,Yes,Unemployed,No,No,,,,,Yes,,Yes,Yes,60.0,42.0,13,5,16.83,18.55
26,,Caerphilly,Caerphilly Basin,English,Male,CCBC,,Employed,No,No,,,,,Yes,,Yes,Yes,231.0,20.0,13,5,16.83,18.55
27,NEWBRIDGE,Caerphilly,Mid Valleys East,English,Female,CCBC,No,Unemployed,No,No,,,,,Yes,,Yes,Yes,108.0,37.0,13,5,16.83,18.55
28,BLACKWOOD,Caerphilly,Mid Valleys East,English,Male,Private,No,Unemployed,No,No,,,,,Yes,,Yes,Yes,59.0,77.0,13,5,16.83,18.55
29,BLACKWOOD,Caerphilly,Mid Valleys East,English,Female,Private,No,Unemployed,No,No,,,,,Yes,,Yes,Yes,32.0,75.0,13,5,16.83,18.55
30,NEWBRIDGE,Caerphilly,Mid Valleys East,English,Female,Private,No,Unemployed,No,No,,,,,Yes,,Yes,Yes,78.0,62.0,13,5,16.83,18.55
